day,user_id,group_id,exp_metric_id,numerator,denominator
2023-12-18,933811702715356,1,0,0.0,0.0
2023-12-18,933811702715356,1,1,0.0,0.0
2023-12-18,933811702715356,1,2,0.0,0.0
2023-12-18,933811702715356,1,3,0.0,3.0
2023-12-18,933811702715356,1,4,2.0,0.0
2023-12-18,933811702715356,1,5,0.0,0.0
2023-12-18,933811702715356,1,6,5.0,0.0
2023-12-18,933811702715356,1,7,5.0,3.0
2023-12-18,1109881702910509,0,0,0.0,0.0
2023-12-18,1109881702910509,0,1,0.0,0.0
2023-12-18,1109881702910509,0,2,0.0,0.0
2023-12-18,1109881702910509,0,3,0.0,2.0
2023-12-18,1109881702910509,0,4,2.0,0.0
2023-12-18,1109881702910509,0,5,0.0,0.0
2023-12-18,1109881702910509,0,6,11.0,0.0
2023-12-18,1109881702910509,0,7,11.0,2.0
2023-12-18,3082961677154531,1,0,0.0,0.0
2023-12-18,3082961677154531,1,1,0.0,0.0
2023-12-18,3082961677154531,1,2,0.0,0.0
2023-12-18,3082961677154531,1,3,0.0,1.0
2023-12-18,3082961677154531,1,4,1.0,0.0
2023-12-18,3082961677154531,1,5,0.0,0.0
2023-12-18,3082961677154531,1,6,4.0,0.0
2023-12-18,3082961677154531,1,7,4.0,1.0
2023-12-18,6434601680870454,1,0,0.0,0.0
2023-12-18,6434601680870454,1,1,0.0,0.0
2023-12-18,6434601680870454,1,2,0.0,0.0
2023-12-18,6434601680870454,1,3,0.0,1.0
2023-12-18,6434601680870454,1,4,1.0,0.0
2023-12-18,6434601680870454,1,5,0.0,0.0
2023-12-18,6434601680870454,1,6,1.0,0.0
2023-12-18,6434601680870454,1,7,1.0,1.0
2023-12-18,7212451702906608,0,0,0.0,0.0
2023-12-18,7212451702906608,0,1,0.0,0.0
2023-12-18,7212451702906608,0,2,0.0,0.0
2023-12-18,7212451702906608,0,3,0.0,3.0
2023-12-18,7212451702906608,0,4,3.0,0.0
2023-12-18,7212451702906608,0,5,0.0,0.0
2023-12-18,7212451702906608,0,6,3.0,0.0
2023-12-18,7212451702906608,0,7,3.0,3.0
2023-12-18,8936591702908622,1,0,0.0,0.0
2023-12-18,8936591702908622,1,1,0.0,0.0
2023-12-18,8936591702908622,1,2,0.0,0.0
2023-12-18,8936591702908622,1,3,0.0,2.0
2023-12-18,8936591702908622,1,4,2.0,0.0
2023-12-18,8936591702908622,1,5,0.0,0.0
2023-12-18,8936591702908622,1,6,2.0,0.0
2023-12-18,8936591702908622,1,7,2.0,2.0
2023-12-18,9637621673893859,0,0,0.0,0.0
2023-12-18,9637621673893859,0,1,0.0,0.0
2023-12-18,9637621673893859,0,2,0.0,0.0
2023-12-18,9637621673893859,0,3,0.0,1.0
2023-12-18,9637621673893859,0,4,1.0,0.0
2023-12-18,9637621673893859,0,5,0.0,0.0
2023-12-18,9637621673893859,0,6,14.0,0.0
2023-12-18,9637621673893859,0,7,14.0,1.0
2023-12-18,9656811689524562,1,0,0.0,0.0
2023-12-18,9656811689524562,1,1,0.0,0.0
2023-12-18,9656811689524562,1,2,0.0,0.0
2023-12-18,9656811689524562,1,3,0.0,1.0
2023-12-18,9656811689524562,1,4,1.0,0.0
2023-12-18,9656811689524562,1,5,0.0,0.0
2023-12-18,9656811689524562,1,6,24.0,0.0
2023-12-18,9656811689524562,1,7,24.0,1.0
